disabili,,,NELLE VICINANZE,,,FUORI
aria condizionata,,,percorsi in bici,,,lavori in azienda – magari lo mettiamo nella parte della visita
vendita diretta,,,percorsi di trekking,,,
animali,,,,,,
meeting room,,,,,,
shopping online,?,,,,,
terrazza,,,,,,
visite in azienda,,,,,,
Internet,,,,,,
Affitto Bici,,,,,,
Giochi per bambini,,,,,,
Parcheggio,,,,,,
Giardino / Parco privato,,,,,,
,,,,,,
HOTEL,,,,,,
Ascensore,,,,,,
Minibar,,,,,,
Navetta,,,,,,
Bar,,,,,,
scuola di cucina,?,,,,,
Custodia Valori,,,,,,
Garage,,,,,,
Maneggio – Scuola di equitazione,?,,,,,
Ristorante,,,,,,
Piscina,,,,,,
Nursery,,,,,,
Servizio Lavanderia,,,,,,
Servizio in camera,,,,,,
Cassaforte in camera,,,,,,
TV in camera,,,,,,
